id,symbol,base,quote,settle,type,active,linear,inverse,subType,group,exchange,volume,spread,order_book_imbalance
BTC-USD-SWAP,BTC/USD:BTC,BTC,USD,BTC,swap,True,False,True,inverse,group_a,okx,9682.1626,1.5078021221684724e-06,0.31542866360190336
BTC-USDT-SWAP,BTC/USDT:USDT,BTC,USDT,USDT,swap,True,True,False,linear,group_a,okx,69935.732,1.5074770864360342e-06,0.14590898681584716
ETH-USD-SWAP,ETH/USD:ETH,ETH,USD,ETH,swap,True,False,True,inverse,group_a,okx,88395.6415,3.2492957150769044e-06,-0.18081906770365233
ETH-USDT-SWAP,ETH/USDT:USDT,ETH,USDT,USDT,swap,True,True,False,linear,group_a,okx,1012870.96,3.2488734532010434e-06,-0.2739429976955498
DOGE-USD-SWAP,DOGE/USD:DOGE,DOGE,USD,DOGE,swap,True,False,True,inverse,group_b,okx,124066820.2434,0.00013363624214900443,-0.03891868431658245
DOGE-USDT-SWAP,DOGE/USDT:USDT,DOGE,USDT,USDT,swap,True,True,False,linear,group_b,okx,2166597500,6.681812107450221e-05,0.014861147467956073
SOL-USD-SWAP,SOL/USD:SOL,SOL,USD,SOL,swap,True,False,True,inverse,group_b,okx,260414.3501,0.00011751571772730614,0.09103744448039533
SOL-USDT-SWAP,SOL/USDT:USDT,SOL,USDT,USDT,swap,True,True,False,linear,group_b,okx,6309421,5.876131155242041e-05,-0.02451348602861314
BTC-USD-240531,BTC/USD:BTC-240531,BTC,USD,BTC,future,True,False,True,inverse,group_b,okx,175.5,3.1598952118646855e-05,-0.23295499642828796
BTC-USD-240628,BTC/USD:BTC-240628,BTC,USD,BTC,future,True,False,True,inverse,group_b,okx,414.2743,1.4925395411906702e-06,-0.07188191881918819
BTC-USDT-240628,BTC/USDT:USDT-240628,BTC,USDT,USDT,future,True,True,False,linear,group_b,okx,118.265,3.579530455105576e-05,-0.11362736558714089
BTC-USD-240927,BTC/USD:BTC-240927,BTC,USD,BTC,future,True,False,True,inverse,group_b,okx,363.8843,0.00012753327459056541,-0.2730757591042066
BTC-USD-241227,BTC/USD:BTC-241227,BTC,USD,BTC,future,True,False,True,inverse,group_b,okx,111.2868,0.0001287498390628641,-0.16586897995812144
LTC-USD-SWAP,LTC/USD:LTC,LTC,USD,LTC,swap,True,False,True,inverse,group_c,okx,56525.1807,0.00012096286440069089,0.07332495726143642
LTC-USDT-SWAP,LTC/USDT:USDT,LTC,USDT,USDT,swap,True,True,False,linear,group_c,okx,420089.1,0.00012099213551108172,0.015004547243827108
LINK-USD-SWAP,LINK/USD:LINK,LINK,USD,LINK,swap,True,False,True,inverse,group_c,okx,510764.5565,0.00018010446058714736,-0.11977080404276202
ADA-USD-SWAP,ADA/USD:ADA,ADA,USD,ADA,swap,True,False,True,inverse,group_c,okx,5906094.1149,0.00021385799828911245,0.006196924489327519
ADA-USDT-SWAP,ADA/USDT:USDT,ADA,USDT,USDT,swap,True,True,False,linear,group_c,okx,44666980,0.00021381227282443656,0.03436011383481676
DOT-USD-SWAP,DOT/USD:DOT,DOT,USD,DOT,swap,True,False,True,inverse,group_c,okx,426354.3495,0.00028793550244754794,0.05173497799467082
DOT-USDT-SWAP,DOT/USDT:USDT,DOT,USDT,USDT,swap,True,True,False,linear,group_c,okx,2523417,0.00014392630972933875,0.08396674999285322
XRP-USD-SWAP,XRP/USD:XRP,XRP,USD,XRP,swap,True,False,True,inverse,group_c,okx,5696233.6237,0.00019584802193495687,0.021501166905066628
XRP-USDT-SWAP,XRP/USDT:USDT,XRP,USDT,USDT,swap,True,True,False,linear,group_c,okx,91162420,0.00019584802193495687,0.021234802896165614
AVAX-USD-SWAP,AVAX/USD:AVAX,AVAX,USD,AVAX,swap,True,False,True,inverse,group_c,okx,73676.6116,0.00039275093979677364,-0.02604794428820142
AVAX-USDT-SWAP,AVAX/USDT:USDT,AVAX,USDT,USDT,swap,True,True,False,linear,group_c,okx,1186569.6,8.416563797553905e-05,-0.02650272539837561
MATIC-USDT-SWAP,MATIC/USDT:USDT,MATIC,USDT,USDT,swap,True,True,False,linear,group_c,okx,37681600,0.0001460706982179214,0.04181610318726202
BCH-USD-SWAP,BCH/USD:BCH,BCH,USD,BCH,swap,True,False,True,inverse,group_c,okx,11123.3643,0.0006197066721750765,-0.03826299404973007
BCH-USDT-SWAP,BCH/USDT:USDT,BCH,USDT,USDT,swap,True,True,False,linear,group_c,okx,237346.5,0.00020648358455495745,0.06287512244352747
SUI-USDT-SWAP,SUI/USDT:USDT,SUI,USDT,USDT,swap,True,True,False,linear,group_c,okx,45295992,9.725734292938046e-05,-0.04662629381113666
BNB-USDT-SWAP,BNB/USDT:USDT,BNB,USDT,USDT,swap,True,True,False,linear,group_c,okx,46206.85,0.00017442874585735696,0.13983089991685765
XBTUSD,BTC/USD:BTC,BTC,USD,BTC,swap,True,False,True,inverse,group_a,bitmex,239933100,7.54341233800522e-06,0.18695569859901554
XBTUSDT,BTC/USDT:USDT,BTC,USDT,USDT,swap,True,True,False,linear,group_a,bitmex,22586874.868600003,1.5087439252880395e-06,0.40769923457901847
ETHUSD,ETH/USD:BTC,ETH,USD,BTC,swap,True,False,False,,group_a,bitmex,19146913.57695839,1.6232712161607006e-05,0.7544035241001057
ETHUSDT,ETH/USDT:USDT,ETH,USDT,USDT,swap,True,True,False,linear,group_a,bitmex,5255894.984200001,9.427062169848472e-05,0.16907451643074956
XBTEUR,BTC/EUR:BTC,BTC,EUR,BTC,swap,True,False,True,inverse,group_b,bitmex,325800,0.00035276551758084895,0.0465894734100056
DOGEUSD,DOGE/USD:BTC,DOGE,USD,BTC,swap,True,False,False,,group_b,bitmex,3832394.9669728004,0.00020030713761101857,0.34471468707945707
DOGEUSDT,DOGE/USDT:USDT,DOGE,USDT,USDT,swap,True,True,False,linear,group_b,bitmex,2471257.0814000005,6.669779230295634e-05,0.2927169732820559
SOLUSD,SOL/USD:BTC,SOL,USD,BTC,swap,True,False,False,,group_b,bitmex,5935555.155410092,5.874060150370597e-05,0.7809186577372259
SOLUSDT,SOL/USDT:USDT,SOL,USDT,USDT,swap,True,True,False,linear,group_b,bitmex,3215645.0950000007,0.00023518344308555997,0.7994490277924355
XBTK24,BTC/USD:BTC-240531,BTC,USD,BTC,future,True,False,True,inverse,group_b,bitmex,4800,0.001995091322482044,0.25118636755823986
XBTM24,BTC/USD:BTC-240628,BTC,USD,BTC,future,True,False,True,inverse,group_b,bitmex,1534600,5.972779059436618e-05,-0.12547958991131516
XBTUSDTM24,BTC/USDT:USDT-240628,BTC,USDT,USDT,future,True,True,False,linear,group_b,bitmex,9357.504,0.0016306624379151457,0.8727069242372634
XBTU24,BTC/USD:BTC-240927,BTC,USD,BTC,future,True,False,True,inverse,group_b,bitmex,1300600,0.00010884788145740057,-0.08728787186566818
XBTZ24,BTC/USD:BTC-241227,BTC,USD,BTC,future,True,False,True,inverse,group_b,bitmex,494100,0.0019801003438750775,-0.0008265930284531689
ETHUSDM24,ETH/USD:BTC-240628,ETH,USD,BTC,future,True,False,False,,group_b,bitmex,221453.8379284023,0.003463949843260245,0.5766112723116152
ETHM24,ETH/BTC:BTC-240628,ETH,BTC,BTC,future,True,True,False,linear,group_b,bitmex,0.8367429,0.004079003864319359,0.42886541861203026
LTCUSD,LTC/USD:BTC,LTC,USD,BTC,swap,True,False,False,,group_c,bitmex,405063.38766675844,0.0002416334420685059,0.3485684849983945
LTCUSDT,LTC/USDT:USDT,LTC,USDT,USDT,swap,True,True,False,linear,group_c,bitmex,238806.996,0.00012075836251649444,0.3155619533303783
LINKUSD,LINK/USD:BTC,LINK,USD,BTC,swap,True,False,False,,group_c,bitmex,1915587.3461551268,0.0008394291881520173,0.7079583881099977
ADAUSD,ADA/USD:BTC,ADA,USD,BTC,swap,True,False,False,,group_c,bitmex,1401233.9350012462,0.0002134927412468926,0.2068420561137614
