symbol,timestamp,datetime,high,low,bid,bidVolume,ask,askVolume,vwap,open,close,last,previousClose,change,percentage,average,baseVolume,quoteVolume,info.symbol,info.lastPr,info.askPr,info.bidPr,info.bidSz,info.askSz,info.high24h,info.low24h,info.ts,info.change24h,info.baseVolume,info.quoteVolume,info.usdtVolume,info.openUtc,info.changeUtc24h,info.indexPrice,info.fundingRate,info.holdingAmount,info.deliveryStartTime,info.deliveryTime,info.deliveryStatus,info.open24h
BTC/USD:BTC,1716100914995,2024-05-19T06:41:54.995Z,67361.0,66573.7,66918.3,1.085,66918.8,0.609,66960.04455636424,66918.29822,66918.3,66918.3,,0.00178,0.178,,5094.72,341142678.2022,BTCUSD,66918.3,66918.8,66918.3,1.085,0.609,67361,66573.7,1716100914995,0.00178,5094.72,341142678.2022,341142678.2022,66894.8,0.00035,66961.8075,0.000128,11549.195,,,,66772.8
BTC/USDT:USDT,1716100915157,2024-05-19T06:41:55.157Z,67326.3,66526.0,66934.4,0.525,66935.4,21.61,66950.35127860794,66935.39744,66935.4,66935.4,,0.00256,0.256,,118023.865,7901739221.009,BTCUSDT,66935.4,66935.4,66934.4,0.525,21.61,67326.3,66526,1716100915157,0.00256,118023.865,7901739221.009,7901739221.009,66903,0.00048,66946.777207,0.000077,88952.204,,,,66749.6
ETH/USD:ETH,1716100915276,2024-05-19T06:41:55.276Z,3145.77,3094.54,3105.2,7.1,3105.41,17.3,3116.132020793489,3105.4115,3105.41,3105.41,,-0.0015,-0.15,,11869.1,36985682.568,ETHUSD,3105.41,3105.41,3105.2,7.1,17.3,3145.77,3094.54,1716100915276,-0.0015,11869.1,36985682.568,36985682.568,3121.97,-0.00537,3107.723333,0.000111,57688,,,,3095.14
ETH/USDT:USDT,1716100915366,2024-05-19T06:41:55.366Z,3145.89,3093.63,3105.0,4.0,3105.31,15.2,3117.071871985272,3105.01145,3105.01,3105.01,,-0.00145,-0.145,,1063744.48,3315767997.5876,ETHUSDT,3105.01,3105.31,3105,4,15.2,3145.89,3093.63,1716100915366,-0.00145,1063744.48,3315767997.5876,3315767997.5876,3121.7,-0.00535,3106.834488,0.000053,301564.79,,,,3095.77
DOGE/USD:DOGE,1716100915481,2024-05-19T06:41:55.481Z,0.156494,0.151353,0.153716,63354.0,0.15374,10689.0,0.15392532013099136,0.148396,0.153696,0.153696,,0.0053,0.53,,6924731.0,1065891.435996,DOGEUSD,0.153696,0.15374,0.153716,63354,10689,0.156494,0.151353,1716100915481,0.0053,6924731,1065891.435996,1065891.435996,0.153012,0.00447,0.153778,0.000101,67273855,,,,0.154861
DOGE/USDT:USDT,1716100915567,2024-05-19T06:41:55.567Z,0.156537,0.150885,0.153857,17810.0,0.153866,39014.0,0.15403774965424913,0.147757,0.153837,0.153837,,0.00608,0.608,,121641054.0,18737314.223731,DOGEUSDT,0.153837,0.153866,0.153857,17810,39014,0.156537,0.150885,1716100915567,0.00608,121641054,18737314.223731,18737314.223731,0.153153,0.00463,0.15376,0.000197,296765317,,,,0.155034
SOL/USD:SOL,1716100915847,2024-05-19T06:41:55.847Z,175.917,170.413,172.913,0.3,173.028,1.72,173.4753620984074,172.87986,172.883,172.883,,0.00314,0.314,,5920.49,1027059.14655,SOLUSD,172.883,173.028,172.913,0.3,1.72,175.917,170.413,1716100915847,0.00314,5920.49,1027059.14655,1027059.14655,172.454,0.00249,173.0233921666666664,0.000096,14861.86,,,,172.6
SOL/USDT:USDT,1716100916020,2024-05-19T06:41:56.020Z,175.7737,170.3008,172.882,21.3,172.9006,2.3,173.2719362455956,172.87857,172.8819,172.8819,,0.00333,0.333,,482075.4,83530137.97437,SOLUSDT,172.8819,172.9006,172.882,21.3,2.3,175.7737,170.3008,1716100916020,0.00333,482075.4,83530137.97437,83530137.97437,172.4182,0.00269,172.979999,0.0001,833559.1,,,,172.6749
BTC/USD:BTC-240628,1716100916104,2024-05-19T06:41:56.104Z,68134.1,67334.8,67676.0,0.083,67678.5,0.091,67731.71346966867,67681.19798,67681.2,67681.2,,0.00202,0.202,,20.342,1377798.5154,BTCUSDM24,67681.2,67678.5,67676,0.083,0.091,68134.1,67334.8,1716100916104,0.00202,20.342,1377798.5154,1377798.5154,67643.9,0.00055,66961.6775,0,901.669,1703836804799,1719561600000,delivery_normal,67546.8
BTC/USD:BTC-240927,1716100916226,2024-05-19T06:41:56.226Z,70096.1,69299.1,69604.1,0.06,69609.4,0.052,69667.5890978584,69607.39817,69607.4,69607.4,,0.00183,0.183,,16.483,1148330.8711,BTCUSDU24,69607.4,69609.4,69604.1,0.06,0.052,70096.1,69299.1,1716100916226,0.00183,16.483,1148330.8711,1148330.8711,69595.5,0.00017,66961.8075,0,236.953,1711699204633,1727424000000,delivery_normal,69465.5
LTC/USD:LTC,1716100916308,2024-05-19T06:41:56.308Z,84.78,83.47,83.8,0.1,83.83,7.6,84.08066150384451,83.83238,83.83,83.83,,-0.00238,-0.238,,7244.1,609088.72,LTCUSD,83.83,83.83,83.8,0.1,7.6,84.78,83.47,1716100916308,-0.00238,7244.1,609088.72,609088.72,83.79,0.00048,83.879842,0.000099,114373.6,,,,84.12
LTC/USDT:USDT,1716100916391,2024-05-19T06:41:56.391Z,84.78,83.34,83.74,4.4,83.82,67.7,84.0165377870201,83.77155,83.77,83.77,,-0.00155,-0.155,,18417.7,1547391.388,LTCUSDT,83.77,83.82,83.74,4.4,67.7,84.78,83.34,1716100916391,-0.00155,18417.7,1547391.388,1547391.388,83.79,-0.00024,83.82573,0.000136,726959,,,,84.03
ADA/USD:ADA,1716100916466,2024-05-19T06:41:56.466Z,0.4863,0.4754,0.4773,15278.0,0.4778,5818.0,0.48189123360188857,0.4851,0.4772,0.4772,,-0.0079,-0.79,,922591.0,444588.5151,ADAUSD,0.4772,0.4778,0.4773,15278,5818,0.4863,0.4754,1716100916466,-0.0079,922591,444588.5151,444588.5151,0.4819,-0.00975,0.4777343233333333,0.0001,1099547,,,,0.4818
ADA/USDT:USDT,1716100916546,2024-05-19T06:41:56.546Z,0.48589,0.47528,0.47742,1095.0,0.47752,336.0,0.48078605213677994,0.48517,0.47748,0.47748,,-0.00769,-0.769,,8485104.0,4079519.65413,ADAUSDT,0.47748,0.47752,0.47742,1095,336,0.48589,0.47528,1716100916546,-0.00769,8485104,4079519.65413,4079519.65413,0.48215,-0.00969,0.477505,0.000099,82748843,,,,0.48127
