,symbol,timestamp,datetime,high,low,bid,bidVolume,ask,askVolume,vwap,open,close,last,previousClose,change,percentage,average,baseVolume,quoteVolume,info.symbol,info.rootSymbol,info.state,info.typ,info.listing,info.front,info.positionCurrency,info.underlying,info.quoteCurrency,info.underlyingSymbol,info.reference,info.referenceSymbol,info.maxOrderQty,info.maxPrice,info.lotSize,info.tickSize,info.multiplier,info.settlCurrency,info.underlyingToSettleMultiplier,info.isQuanto,info.isInverse,info.initMargin,info.maintMargin,info.riskLimit,info.riskStep,info.taxed,info.deleverage,info.makerFee,info.takerFee,info.settlementFee,info.fundingBaseSymbol,info.fundingQuoteSymbol,info.fundingPremiumSymbol,info.fundingTimestamp,info.fundingInterval,info.fundingRate,info.indicativeFundingRate,info.prevClosePrice,info.limitDownPrice,info.limitUpPrice,info.prevTotalVolume,info.totalVolume,info.volume,info.volume24h,info.prevTotalTurnover,info.totalTurnover,info.turnover,info.turnover24h,info.homeNotional24h,info.foreignNotional24h,info.prevPrice24h,info.vwap,info.highPrice,info.lowPrice,info.lastPrice,info.lastPriceProtected,info.lastTickDirection,info.lastChangePcnt,info.bidPrice,info.midPrice,info.askPrice,info.impactBidPrice,info.impactMidPrice,info.impactAskPrice,info.hasLiquidity,info.openInterest,info.openValue,info.fairMethod,info.fairBasisRate,info.fairBasis,info.fairPrice,info.markMethod,info.markPrice,info.indicativeSettlePrice,info.instantPnl,info.timestamp,info.minTick,info.capped,info.underlyingToPositionMultiplier,info.quoteToSettleMultiplier
0,BTC/USD:BTC,1715921240775,2024-05-17T04:47:20.775Z,66771.5,64570.5,65421.5,,65422.0,,65639.1945,65843.5,65421.5,65421.5,,-422.0,-0.6409136816846006,65632.5,4962.4181215300005,325727900.0,XBTUSD,XBT,Open,FFWCSX,2016-05-13T12:00:00.000Z,2016-05-13T12:00:00.000Z,USD,XBT,USD,XBT=,BMEX,.BXBT,10000000,1000000,100,0.5,-100000000,XBt,-100000000,False,True,0.01,0.005,20000000000,15000000000,True,True,0.0002,0.00075,0,.XBTBON8H,.USDBON8H,.XBTUSDPI8H,2024-05-17T12:00:00.000Z,2000-01-01T08:00:00.000Z,0.000034,-0.000112,66543.68,,,3796910253289,3796915669189,5415900,325727900,37559733138035879,37559741403287622,8265251743,496241812153,4962.4181215300005,325727900,65843.5,65639.1945,66771.5,64570.5,65421.5,65421.5,MinusTick,-0.0067,65421.5,65421.75,65422,65421.4779,65421.5,65421.9059,True,278369700,425137340628,FundingRate,0.03723,2.01,65477.41,FairPrice,65477.41,65475.4,True,2024-05-17T04:47:20.775Z,0.01,False,,
1,BTC/USDT:USDT,1715921243130,2024-05-17T04:47:23.130Z,66832.7,64590.0,65436.5,,65436.6,,65750.89,65851.1,65461.1,65461.1,,-390.0,-0.5922452320462376,65656.1,578.835,38058916.0023,XBTUSDT,XBT,Open,FFWCSX,2021-11-10T04:00:00.000Z,2021-11-10T04:00:00.000Z,XBT,XBT,USDT,XBTT=,BMEX,.BXBTT,1000000000,1000000,1000,0.1,1,USDt,,False,False,0.01,0.005,1000000000000,1000000000000,True,True,-0.00015,0.00075,0,.XBTBON8H,.USDTBON8H,.XBTUSDTPI8H,2024-05-17T12:00:00.000Z,2000-01-01T08:00:00.000Z,0.0001,0.0001,66524.29,,,912287989000,912293262000,5273000,578835000,29961560110757500,29961905574655600,345463898100,38058916002300,578.835,38058916.0023,65851.1,65750.89,66832.7,64590,65461.1,65461.1,MinusTick,-0.0059,65436.5,65436.55,65436.6,65422.373,65429.45,65436.601,True,136131000,8911584492300,FundingRate,0.1095,5.9,65463.3,FairPrice,65463.3,65457.4,True,2024-05-17T04:47:23.130Z,0.01,False,1000000,1000000
2,ETH/USD:BTC,1715921245882,2024-05-17T04:47:25.882Z,3030.75,2923.7,2951.25,,2951.3,,2962.71,3011.4,2951.25,2951.25,,-60.15,-1.997409842598127,2981.325,15617.325256615442,46272226.42822445,ETHUSD,ETH,Open,FFWCSX,2018-08-01T12:00:00.000Z,2018-08-01T12:00:00.000Z,,ETH,USD,ETH=,BMEX,.BETH,10000000,1000000,1,0.05,100,XBt,,True,False,0.01,0.005,7500000000,10000000000,True,True,0.0002,0.00075,0,.ETHBON8H,.USDBON8H,.ETHUSDPI8H,2024-05-17T12:00:00.000Z,2000-01-01T08:00:00.000Z,0.0001,0.0001,3008.61,,,184130146373,184130148857,2484,237804,4144631035334220,4144631769158640,733824420,70454275020,15617.325256615442,46272226.42822445,3011.4,2962.71,3030.75,2923.7,2951.25,2951.6,ZeroMinusTick,-0.02,2951.25,2951.275,2951.3,2951.25,2951.4,2951.57,True,334800,98786422800,FundingRate,0.1095,0.27,2950.61,FairPrice,2950.61,2950.34,True,2024-05-17T04:47:25.882Z,0.01,False,,1527
3,ETH/USDT:USDT,1715921248129,2024-05-17T04:47:28.129Z,3026.26,2922.48,2948.5,,2948.52,,2968.2841,3007.67,2947.9,2947.9,,-59.77,-1.9872525908759937,2977.785,1728.4799999999973,5130619.6256,ETHUSDT,ETH,Open,FFWCSX,2021-11-10T04:00:00.000Z,2021-11-10T04:00:00.000Z,ETH,ETH,USDT,ETHT=,BMEX,.BETHT,1000000000,1000000,1000,0.01,10,USDt,,False,False,0.01,0.005,1000000000000,1000000000000,True,True,-0.00015,0.00075,0,.ETHBON8H,.USDTBON8H,.ETHUSDTPI8H,2024-05-17T12:00:00.000Z,2000-01-01T08:00:00.000Z,0.0001,0.0001,3007.769,,,501596327000,501598560000,2233000,172848000,10285265668951900,10285331544145900,65875194000,5130619625600,1728.4799999999973,5130619.6256,3007.67,2968.2841,3026.26,2922.48,2947.9,2947.9,ZeroMinusTick,-0.0204,2948.5,2948.51,2948.52,2948.1938,2948.505,2948.8244,True,156073000,4603875690060,FundingRate,0.1095,0.266,2949.822,FairPrice,2949.822,2949.556,True,2024-05-17T04:47:28.129Z,0.001,False,100000,1000000
4,BTC/EUR:BTC,1715921250487,2024-05-17T04:47:30.487Z,61294.5,59487.0,60227.0,,60241.0,,60496.0678,60536.0,60282.5,60282.5,,-253.5,-0.4187590855028412,60409.25,4.7623194,288100.0,XBTEUR,XBT,Open,FFWCSX,2021-06-16T04:00:00.000Z,2021-06-16T04:00:00.000Z,EUR,XBT,EUR,XBTEUR=,BMEX,.BXBTEUR,10000000,1000000,100,0.5,-100000000,XBt,-100000000,False,True,0.02,0.01,5000000000,5000000000,True,True,0.0002,0.00075,0,.XBTBON8H,.EURBON8H,.XBTEURPI8H,2024-05-17T12:00:00.000Z,2000-01-01T08:00:00.000Z,0.0001,0.000067,61204.74,,,2614312900,2614314700,1800,288100,8140395395418,8140398378013,2982595,476231940,4.7623194,288100,60536,60496.0678,61294.5,59487,60282.5,60282.5,MinusTick,-0.0041,60227,60234,60241,60219.9232,60234.25,60248.9487,True,1180600,1958095936,FundingRate,0.1095,5.44,60293.29,FairPrice,60293.29,60289.89,True,2024-05-17T04:47:30.487Z,0.01,False,,
5,ETH/USD:BTC,1715921250775,2024-05-17T04:47:30.775Z,3030.75,2923.7,2951.05,,2951.1,,2962.71,3011.4,2951.25,2951.25,,-60.15,-1.997409842598127,2981.325,15617.325256615442,46272226.42822445,ETHUSD,ETH,Open,FFWCSX,2018-08-01T12:00:00.000Z,2018-08-01T12:00:00.000Z,,ETH,USD,ETH=,BMEX,.BETH,10000000,1000000,1,0.05,100,XBt,,True,False,0.01,0.005,7500000000,10000000000,True,True,0.0002,0.00075,0,.ETHBON8H,.USDBON8H,.ETHUSDPI8H,2024-05-17T12:00:00.000Z,2000-01-01T08:00:00.000Z,0.0001,0.0001,3008.61,,,184130146373,184130148877,2504,237804,4144631035334220,4144631775061140,739726920,70454275020,15617.325256615442,46272226.42822445,3011.4,2962.71,3030.75,2923.7,2951.25,2951.25,ZeroMinusTick,-0.02,2951.05,2951.075,2951.1,2951.05,2951.125,2951.24,True,334802,98785673714,FundingRate,0.1095,0.27,2950.57,FairPrice,2950.57,2950.3,True,2024-05-17T04:47:30.775Z,0.01,False,,1527
6,DOGE/USD:BTC,1715921254222,2024-05-17T04:47:34.222Z,0.15702,0.14854,0.15022,,0.15023,,0.15222,0.15662,0.15022,0.15022,,-0.0064,-4.086323585748946,0.15342,13172336.544150336,2005122.9373426018,DOGEUSD,DOGE,Open,FFWCSX,2021-09-29T04:00:00.000Z,2021-09-29T04:00:00.000Z,,DOGE,USD,DOGE=,BMEX,.BDOGE,5000000,1000,1,0.00001,100000,XBt,,True,False,0.02,0.01,5000000000,5000000000,True,True,0.0002,0.00075,0,.DOGEBON8H,.USDBON8H,.DOGEUSDPI8H,2024-05-17T12:00:00.000Z,2000-01-01T08:00:00.000Z,0.000314,0.000354,0.15526,,,1269533945,1269536761,2816,200293,13813003301538,13813045644922,42343384,3048669025,13172336.544150336,2005122.9373426018,0.15662,0.15222,0.15702,0.14854,0.15022,0.15023,MinusTick,-0.0409,0.15022,0.150225,0.15023,0.15015,0.150215,0.15028,True,651505,9780393060,FundingRate,0.34382999999999997,0.00004,0.15012,FairPrice,0.15012,0.15008,True,2024-05-17T04:47:34.222Z,0.00001,False,,1527
7,DOGE/USDT:USDT,1715921255764,2024-05-17T04:47:35.764Z,0.15712,0.14884,0.15019,,0.15022,,0.1529647,0.15665,0.15023,0.15023,,-0.00642,-4.0983083306734756,0.15344,12366470.0,1891631.7805000006,DOGEUSDT,DOGE,Open,FFWCSX,2021-11-10T04:00:00.000Z,2021-11-10T04:00:00.000Z,DOGE,DOGE,USDT,DOGET=,BMEX,.BDOGET,10000000000,1000,1000,0.00001,10000,USDt,,False,False,0.02,0.01,1000000000000,1000000000000,True,True,-0.00015,0.00075,0,.DOGEBON8H,.USDTBON8H,.DOGEUSDTPI8H,2024-05-17T12:00:00.000Z,2000-01-01T08:00:00.000Z,0.000186,0.0001,0.155226,,,1500065764000,1500072911000,7147000,1236647000,1521885743987000,1521896498452500,10754465500,1891631780500,12366470,1891631.7805000006,0.15665,0.1529647,0.15712,0.14884,0.15023,0.15023,PlusTick,-0.0412,0.15019,0.150205,0.15022,0.1501327,0.150205,0.1502784,True,9529190000,14299407222100,FundingRate,0.20367,0.000025,0.150059,FairPrice,0.150059,0.150034,True,2024-05-17T04:47:35.764Z,0.000001,False,100,1000000
8,SOL/USD:BTC,1715921258129,2024-05-17T04:47:38.129Z,164.83,156.78,161.79,,161.81,,161.73,163.06,161.84,161.84,,-1.22,-0.7481908499938672,162.45,59145.67465858831,9565163.260969218,SOLUSD,SOL,Open,FFWCSX,2021-10-20T04:00:00.000Z,2021-10-20T04:00:00.000Z,,SOL,USD,SOL=,BMEX,.BSOL,1000000,1000000,1,0.01,100,XBt,,True,False,0.02,0.01,5000000000,5000000000,True,True,0.0002,0.00075,0,.SOLBON8H,.USDBON8H,.SOLUSDPI8H,2024-05-17T12:00:00.000Z,2000-01-01T08:00:00.000Z,0.000177,0.000627,163.81,,,7890449000,7890787939,338939,900191,27175423910677,27180946708092,5522797415,14557601193,59145.67465858831,9565163.260969218,163.06,161.73,164.83,156.78,161.84,161.92,MinusTick,-0.0075,161.79,161.8,161.81,161.77,161.8,161.83,True,876950,14171512000,FundingRate,0.193815,0.03,161.6,FairPrice,161.6,161.57,True,2024-05-17T04:47:38.129Z,0.01,False,,1527
9,SOL/USDT:USDT,1715921260390,2024-05-17T04:47:40.390Z,164.7,156.62,161.43,,161.48,,161.35067,163.08,161.45,161.45,,-1.63,-0.9995094432180524,162.265,27208.4,4390093.393,SOLUSDT,SOL,Open,FFWCSX,2021-11-10T04:00:00.000Z,2021-11-10T04:00:00.000Z,SOL,SOL,USDT,SOLT=,BMEX,.BSOLT,1000000000,1000000,1000,0.01,100,USDt,,False,False,0.02,0.01,1000000000000,1000000000000,True,True,-0.00015,0.00075,0,.SOLBON8H,.USDTBON8H,.SOLUSDTPI8H,2024-05-17T12:00:00.000Z,2000-01-01T08:00:00.000Z,0.0001,0.0001,163.772,,,881685854000,881689177000,3323000,272084000,3043129414181000,3043183311498000,53897317000,4390093393000,27208.4,4390093.393,163.08,161.35067,164.7,156.62,161.45,161.64,ZeroMinusTick,-0.01,161.43,161.455,161.48,161.3879,161.45,161.51881,True,156903000,2534673823200,FundingRate,0.1095,0.015,161.544,FairPrice,161.544,161.442,True,2024-05-17T04:47:40.390Z,0.001,False,10000,1000000
