symbol,timestamp,datetime,high,low,bid,bidVolume,ask,askVolume,vwap,open,close,last,previousClose,change,percentage,average,baseVolume,quoteVolume,info.symbol,info.last,info.lastTime,info.tag,info.pair,info.markPrice,info.bid,info.bidSize,info.ask,info.askSize,info.vol24h,info.volumeQuote,info.openInterest,info.open24h,info.high24h,info.low24h,info.lastSize,info.fundingRate,info.fundingRatePrediction,info.suspended,info.indexPrice,info.postOnly,info.change24h
BTC/USD:BTC,1716100881121,2024-05-19T06:41:21.121Z,,,66958.0,1700.0,66969.0,1700.0,,66962.5,66992.5,66992.5,,30.0,0.0448011946985252,66977.5,,2392239.0,PI_XBTUSD,66992.50000000,2024-05-19T06:41:21.121Z,perpetual,XBT:USD,66970.5,66958,1700,66969,1700,2392239,2392239,20782090.00000000000,66962.5,67401.5,66660.5,1700,0.000000000186136849,0.00000000016174618,False,66967.99,False,0.04
ETH/USD:ETH,1716100903160,2024-05-19T06:41:43.160Z,,,3107.0,5350.0,3107.9,1992.0,,3096.15,3108.05,3108.05,,11.9,0.3843483035382652,3102.1,,673382.0,PI_ETHUSD,3108.05,2024-05-19T06:41:43.160Z,perpetual,ETH:USD,3107.47,3107,5350,3107.9,1992,673382,673382,4834946.00000000000,3096.15,3146.85,3096,5050,0.000000002027971013,-0.000000000210500679,False,3108.08,False,0.38
BTC/USD:BTC-240531,1716018064877,2024-05-18T07:41:04.877Z,,,67152.0,8030.0,67187.5,8030.0,,67325.0,67325.0,67325.0,,0.0,0.0,67325.0,,2000.0,FI_XBTUSD_240531,67325.00000000,2024-05-18T07:41:04.877Z,month,XBT:USD,67175.2,67152,8030,67187.5,8030,2000,2000,53759.00000000000,67325,67325,67325,2000,,,False,66968.28,False,0.0
BTC/USD:BTC-240628,1716099660030,2024-05-19T06:21:00.030Z,,,67794.5,315.0,67817.5,315.0,,67981.0,67980.5,67980.5,,-0.5,-0.0007354996248951,67980.75,,78889.0,FI_XBTUSD_240628,67980.5,2024-05-19T06:21:00.030Z,quarter,XBT:USD,67807,67794.5,315,67817.5,315,78889,78889,4413390.00000000000,67981,68182.5,67762,12607,,,False,66968.35,False,0.0
BTC/USD:BTC-240927,1716089310719,2024-05-19T03:28:30.719Z,,,69748.0,8006.0,69806.5,8006.0,,69726.0,70057.5,70057.5,,331.5,0.4754324068496687,69891.75,,9290.0,FI_XBTUSD_240927,70057.50000000,2024-05-19T03:28:30.719Z,semiannual,XBT:USD,69783.5,69748,8006,69806.5,8006,9290,9290,4168067.00000000000,69726,70057.5,69692,1200,,,False,66968.35,False,0.48
LTC/USD:LTC,1716080747326,2024-05-19T01:05:47.326Z,,,83.82,677.0,83.86,677.0,,84.35,83.99,83.99,,-0.36,-0.4267931238885595,84.17,,15169.0,PI_LTCUSD,83.99000000,2024-05-19T01:05:47.326Z,perpetual,LTC:USD,83.84,83.82,677,83.86,677,15169,15169,179297.00000000000,84.35,84.78,83.67,390,0.000000085162325059,0.000000053503990228,False,83.85,False,-0.43
XRP/USD:XRP,1716100539286,2024-05-19T06:35:39.286Z,,,0.5199,414.0,0.5202,956.0,,0.523,0.5205,0.5205,,-0.0025,-0.4780114722753346,0.52175,,66976.0,PI_XRPUSD,0.5205,2024-05-19T06:35:39.286Z,perpetual,XRP:USD,0.52,0.5199,414,0.5202,956,66976,66976,617456.00000000000,0.523,0.5255,0.5205,550,0.000005139957817217,-0.000001484497863248,False,0.52,False,-0.48
BCH/USD:BCH,1716094405239,2024-05-19T04:53:25.239Z,,,490.3,9744.0,491.1,10283.0,,483.6,490.4,490.4,,6.8,1.4061207609594706,487.0,,23784.0,PI_BCHUSD,490.4,2024-05-19T04:53:25.239Z,perpetual,BCH:USD,490.7,490.3,9744,491.1,10283,23784,23784,42569.00000000000,483.6,495,475,750,-0.000000024472188385,-0.000000036015232697,False,490.93,False,1.41
