symbol,timestamp,datetime,high,low,bid,bidVolume,ask,askVolume,vwap,open,close,last,previousClose,change,percentage,average,baseVolume,quoteVolume,info.funding_8h,info.current_funding,info.estimated_delivery_price,info.best_bid_amount,info.best_ask_amount,info.best_bid_price,info.best_ask_price,info.interest_value,info.open_interest,info.max_price,info.min_price,info.last_price,info.settlement_price,info.instrument_name,info.mark_price,info.index_price,info.stats.volume_notional,info.stats.volume_usd,info.stats.volume,info.stats.price_change,info.stats.low,info.stats.high,info.state,info.timestamp
BTC/USD:BTC,1716103577604,2024-05-19T07:26:17.604Z,67399.0,66620.5,67208.5,30730.0,67209.0,347140.0,,,67208.5,67208.5,,,,,,2599.4569068,0.00000851,0.00006895,67189.23,30730.0,347140.0,67208.5,67209.0,0.05276428856869516,734234560,69227.0,65194.0,67208.5,66915.71,BTC-PERPETUAL,67210.66,67189.23,174251850.0,174251850.0,2599.4569068,0.0514,66620.5,67399.0,open,1716103577604
BTC/USDT:USDT,1716103578004,2024-05-19T07:26:18.004Z,67240.0,66777.0,67198.0,0.02,67203.0,0.012,,,67240.0,67240.0,,,,,,0.819,-0.00083889,0.00021223,67188.627,0.02,0.012,67198.0,67203.0,-7490740681.612103,1.954,69237.0,65203.0,67240.0,66899.525,BTC_USDT-PERPETUAL,67219.6838,67188.627,54923.127,54957.91,0.819,0.4212,66777.0,67240.0,open,1716103578004
ETH/USD:ETH,1716103578362,2024-05-19T07:26:18.362Z,3147.85,3097.8,3114.55,1822.0,3114.6,78829.0,,,3114.55,3114.55,,,,,,27104.559314,0.000009,0.000045,3113.53,1822.0,78829.0,3114.55,3114.6,0.6607361902727058,563494366,3207.9,3021.0,3114.55,3103.2,ETH-PERPETUAL,3114.45,3113.53,84608015.0,84608015.0,27104.559314,0.2511,3097.8,3147.85,open,1716103578362
ETH/USDT:USDT,1716103578122,2024-05-19T07:26:18.122Z,3138.5,3105.2,3112.9,0.44,3113.2,0.26,,,3105.2,3105.2,,,,,,2.63,-0.000764,0.000003,3112.9992,0.44,0.26,3112.9,3113.2,-342805175.6797978,142.17,3207.3,3020.3,3105.2,3101.8297,ETH_USDT-PERPETUAL,3113.7872,3112.9992,8197.122,8201.78,2.63,-1.061,3105.2,3138.5,open,1716103578122
BTC/USD:BTC-240531,1716103579158,2024-05-19T07:26:19.158Z,67647.5,66880.0,67420.0,4960.0,67422.5,12770.0,,,67425.0,67425.0,,,,,,95.68583115,,,67188.88,4960.0,12770.0,67420.0,67422.5,,96820350,69455.0,65407.5,67425.0,67170.54,BTC-31MAY24,67431.21,67188.88,6438940.0,6438940.0,95.68583115,-0.0185,66880.0,67647.5,open,1716103579158
BTC/USD:BTC-240628,1716103579657,2024-05-19T07:26:19.657Z,68295.0,67531.5,68075.0,11230.0,68077.5,9500.0,,,68080.0,68080.0,,,,,,166.57709729,,,67188.59,11230.0,9500.0,68075.0,68077.5,,370842570,70127.5,66040.0,68080.0,67808.35,BTC-28JUN24,68084.29,67188.59,11317730.0,11317730.0,166.57709729,-0.0294,67531.5,68295.0,open,1716103579657
BTC/USD:BTC-240927,1716103579979,2024-05-19T07:26:19.979Z,70280.0,69515.0,70050.0,330.0,70057.5,8660.0,,,70050.0,70050.0,,,,,,59.54132925,,,67188.59,330.0,8660.0,70050.0,70057.5,,127161500,72157.5,67952.5,70050.0,69765.15,BTC-27SEP24,70054.93,67188.59,4161230.0,4161230.0,59.54132925,0.0036,69515.0,70280.0,open,1716103579979
BTC/USD:BTC-241227,1716103580455,2024-05-19T07:26:20.455Z,72300.0,71510.0,72082.5,1700.0,72092.5,1700.0,,,71940.0,71940.0,,,,,,30.83896965,,,67188.59,1700.0,1700.0,72082.5,72092.5,,220775010,74260.0,69932.5,71940.0,71796.72,BTC-27DEC24,72095.58,67188.59,2218340.0,2218340.0,30.83896965,-0.2911,71510.0,72300.0,open,1716103580455
