symbol,base,quote,settle,type,spot,margin,swap,future,option,index,active,contract,linear,inverse,subType,group,exchange,adv,spread,market_depth,order_book_imbalance
BTC/USD:BTC,BTC,USD,BTC,swap,False,False,True,False,False,,True,True,False,True,inverse,group_a,Binance,41208.96601338566,1.5195974891055614e-06,"{'total_bids': 179217.0, 'total_asks': 186096.0}",-0.018830427605916022
BTC/USDT:USDT,BTC,USDT,USDT,swap,False,False,True,False,False,,True,True,True,False,linear,group_a,Binance,264252.23806666664,1.5199046714462933e-06,"{'total_bids': 194.733, 'total_asks': 278.016}",-0.1761674799946695
ETH/USDT:USDT,ETH,USDT,USDT,swap,False,False,True,False,False,,True,True,True,False,linear,group_a,Binance,2253466.452933334,3.3171786731164334e-06,"{'total_bids': 4713.562, 'total_asks': 8762.405999999999}",-0.30044921448314504
DOGE/USDT:USDT,DOGE,USDT,USDT,swap,False,False,True,False,False,,True,True,True,False,linear,group_b,Binance,6601948601.9,6.407791874908525e-05,"{'total_bids': 86230849.0, 'total_asks': 57762979.0}",0.19770201539471538
SOL/USDT:USDT,SOL,USDT,USDT,swap,False,False,True,False,False,,True,True,True,False,linear,group_b,Binance,18289049.733333334,6.189689215734034e-06,"{'total_bids': 30081.0, 'total_asks': 27902.0}",0.0375799803390649
BTC/USDT:USDT-240628,BTC,USDT,USDT,future,False,False,False,True,False,,True,True,True,False,linear,group_b,Binance,772.7754666666667,1.501215233819088e-06,"{'total_bids': 93.434, 'total_asks': 102.806}",-0.04775784753363228
BTC/USD:BTC-240628,BTC,USD,BTC,future,False,False,False,True,False,,True,True,False,True,inverse,group_b,Binance,1769.122456972,1.5025596101649487e-06,"{'total_bids': 218811.0, 'total_asks': 243629.0}",-0.0536675028111755
BTC/USD:BTC-240927,BTC,USD,BTC,future,False,False,False,True,False,,True,True,False,True,inverse,group_b,Binance,1587.3813367366665,1.469209770704381e-06,"{'total_bids': 217139.0, 'total_asks': 237044.0}",-0.043825946809986284
LTC/USDT:USDT,LTC,USDT,USDT,swap,False,False,True,False,False,,True,True,True,False,linear,group_c,Binance,2395221.9876666665,0.00012130033964101305,"{'total_bids': 110286.03900000002, 'total_asks': 113574.08299999998}",-0.0146879398198486
ADA/USDT:USDT,ADA,USDT,USDT,swap,False,False,True,False,False,,True,True,True,False,linear,group_c,Binance,479046255.96666664,0.00021734405564005432,"{'total_bids': 16602093.0, 'total_asks': 11806659.0}",0.16880129053187554
DOT/USDT:USDT,DOT,USDT,USDT,swap,False,False,True,False,False,,True,True,True,False,linear,group_c,Binance,23222696.129999995,0.00014349261013049875,"{'total_bids': 769316.4, 'total_asks': 584054.7}",0.1368890616919484
XRP/USDT:USDT,XRP,USDT,USDT,swap,False,False,True,False,False,,True,True,True,False,linear,group_c,Binance,891478324.15,0.00019271535941412407,"{'total_bids': 37337160.2, 'total_asks': 23917352.5}",0.21908275992211104
AVAX/USDT:USDT,AVAX,USDT,USDT,swap,False,False,True,False,False,,True,True,True,False,linear,group_c,Binance,7409160.566666666,2.874885004593116e-05,"{'total_bids': 79051.0, 'total_asks': 65087.0}",0.09687937948355049
MATIC/USDT:USDT,MATIC,USDT,USDT,swap,False,False,True,False,False,,True,True,True,False,linear,group_c,Binance,297926652.8666667,0.00014488554042304982,"{'total_bids': 7402760.0, 'total_asks': 6667273.0}",0.052273296018566555
BCH/USDT:USDT,BCH,USDT,USDT,swap,False,False,True,False,False,,True,True,True,False,linear,group_c,Binance,495896.3185333333,2.1867961249952777e-05,"{'total_bids': 5869.144, 'total_asks': 3963.9300000000003}",0.19375568616690975
SUI/USDT:USDT,SUI,USDT,USDT,swap,False,False,True,False,False,,True,True,True,False,linear,group_c,Binance,173697113.37,9.967108541810922e-05,"{'total_bids': 3702788.0, 'total_asks': 2641858.2}",0.1672165423503047
BNB/USDT:USDT,BNB,USDT,USDT,swap,False,False,True,False,False,,True,True,True,False,linear,group_c,Binance,910072.806,1.712446057947617e-05,"{'total_bids': 9645.029999999999, 'total_asks': 11233.33}",-0.07607398282240564
BTC/USD:BTC,BTC,USD,BTC,swap,False,,True,False,False,,True,True,False,True,inverse,group_a,Bitget,6359.394066666666,3.647338810433716e-05,"{'total_bids': 854.0490000000002, 'total_asks': 863.605}",-0.005563402175292469
BTC/USDT:USDT,BTC,USDT,USDT,swap,False,,True,False,False,,True,True,True,False,linear,group_a,Bitget,186992.56166666665,8.362055727780116e-05,"{'total_bids': 491.9509999999999, 'total_asks': 314.532}",0.2199909979503597
ETH/USDT:USDT,ETH,USDT,USDT,swap,False,,True,False,False,,True,True,True,False,linear,group_a,Bitget,1437841.7106666665,0.0001028547160546077,"{'total_bids': 8112.18, 'total_asks': 5780.579999999999}",0.16782842286198002
DOGE/USDT:USDT,DOGE,USDT,USDT,swap,False,,True,False,False,,True,True,True,False,linear,group_b,Bitget,213944931.53333333,0.0006466524531178108,"{'total_bids': 1840967.0, 'total_asks': 2258605.0}",-0.10187356143519372
SOL/USDT:USDT,SOL,USDT,USDT,swap,False,,True,False,False,,True,True,True,False,linear,group_b,Bitget,649476.9666666666,0.00016780705284987233,"{'total_bids': 862.8, 'total_asks': 833.0999999999999}",0.017512825048646763
